label,"GDP Per Capita"
2021,1222.87879372246
2020,1147.47197125836
2019,1194.95723579184
2018,1178.52595698425
2017,1048.45375534732
2016,899.523581025867
2015,901.74960773293
2014,844.853124854118
2013,823.359874611415
2012,804.141607295945
2011,797.813947256329
2010,592.401207101201
2009,478.173252764915
2008,470.455459040508
2007,391.380057185409
2006,346.945331253185
2005,315.805629997361
2004,286.157672590748
2003,252.402351773172
2002,244.72084352424
2001,246.725558064189
2000,229.490392563225
1999,214.106703241189
1998,210.611560882806
1997,217.787981943548
1996,204.685755187214
1995,203.980780640198
1994,193.279550945237
1993,178.625987777859
1992,170.586651238342
1991,202.080589132317
1990,191.878883935254
1989,191.12085332804
1988,193.499647953506
1987,167.799944560052
1986,165.361829190716
1985,155.407818368299
1984,156.6505396816
1983,151.992553541432
1982,152.289669755426
1981,148.080263310104
1980,129.586022391862
1979,126.133309627198
1978,111.806613768778
1977,98.5420074155997
1976,105.892823314599
1975,117.417746807474
1974,92.7522223287054
1973,75.6369607390614
1972,81.3865729988799
1971,71.6298780982626
1970,71.718591135228
1969,66.6383457866247
1968,66.548940087185
1967,73.9679007589551
1966,81.164422366702
1965,67.0074709698086
1964,46.0034038808981
1963,46.8614532574513
1962,55.0256889119249
1961,51.8112487287027
1960,50.3049377208139
