Date,Recent graduates,College graduates
1-Mar,44.3,33.7
1-Apr,44.1,33.7
1-May,43.6,33.7
1-Jun,43.6,33.7
1-Jul,43.8,33.8
1-Aug,44.1,34.1
1-Sep,44.3,34.3
1-Oct,44.1,34.3
1-Nov,44.6,34.2
1-Dec,44.6,34.1
1-Jan,44.6,34.1
1-Feb,44.6,34.1
1-Mar,44.7,34.4
1-Apr,44.8,34.5
1-May,45.1,34.7
1-Jun,45.5,34.8
1-Jul,45.8,34.9
1-Aug,45.9,35.0
1-Sep,45.9,35.0
1-Oct,46.1,34.9
1-Nov,46.1,34.8
1-Dec,45.8,34.6
1-Jan,45.4,34.4
1-Feb,44.4,34.2
1-Mar,43.4,34.0
1-Apr,42.8,34.0
1-May,43.3,34.2
1-Jun,44.0,34.4
1-Jul,44.0,34.4
1-Aug,43.6,34.3
1-Sep,43.3,34.4
1-Oct,43.7,34.5
1-Nov,44.1,34.5
1-Dec,45.4,34.7
1-Jan,46.6,34.8
1-Feb,47.4,35.0
1-Mar,47.3,34.9
1-Apr,46.5,34.6
1-May,45.6,34.6
1-Jun,45.2,34.6
1-Jul,45.3,34.7
1-Aug,45.3,34.6
1-Sep,45.1,34.5
1-Oct,44.7,34.3
1-Nov,44.6,34.4
1-Dec,44.9,34.4
1-Jan,45.5,34.6
1-Feb,45.7,34.7
1-Mar,45.8,34.8
1-Apr,45.9,34.9
1-May,47.0,35.0
1-Jun,46.5,35.0
1-Jul,46.7,34.9
1-Aug,46.3,34.7
1-Sep,47.1,34.6
1-Oct,47.4,34.6
1-Nov,47.0,34.6
1-Dec,46.6,34.7
1-Jan,45.8,35.0
1-Feb,45.6,35.1
1-Mar,45.2,35.1
1-Apr,45.3,34.8
1-May,45.6,34.7
1-Jun,46.1,34.7
1-Jul,46.4,34.7
1-Aug,46.1,34.7
1-Sep,44.5,34.7
1-Oct,43.7,34.4
1-Nov,43.2,34.3
1-Dec,43.5,34.3
1-Jan,43.8,34.4
1-Feb,44.3,34.7
1-Mar,45.4,34.8
1-Apr,45.5,34.8
1-May,45.6,34.8
1-Jun,45.2,34.7
1-Jul,44.8,34.6
1-Aug,44.5,34.5
1-Sep,43.7,34.5
1-Oct,44.5,34.6
1-Nov,45.3,34.7
1-Dec,46.6,35.0
1-Jan,46.4,34.9
1-Feb,45.0,34.6
1-Mar,43.8,34.2
1-Apr,43.3,34.0
1-May,43.6,34.0
1-Jun,43.3,34.0
1-Jul,43.6,34.2
1-Aug,43.7,34.3
1-Sep,44.2,34.6
1-Oct,43.9,34.7
1-Nov,43.5,34.8
1-Dec,43.9,34.8
1-Jan,44.5,34.8
1-Feb,44.9,34.7
1-Mar,44.5,34.6
1-Apr,44.2,34.5
1-May,43.8,34.3
1-Jun,43.2,34.3
1-Jul,42.9,34.3
1-Aug,42.9,34.7
1-Sep,43.1,34.7
1-Oct,43.6,34.7
1-Nov,43.4,34.5
1-Dec,43.1,34.4
1-Jan,42.1,34.0
1-Feb,41.6,33.8
1-Mar,41.7,33.7
1-Apr,41.9,34.0
